Handle,Title,Body (HTML),Vendor,Type,Tags,SEO Hidden (product.metafields.seo.hidden),Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / MPN,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,SEO Title,SEO Description,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
atlanta-braves-x-us-navy-250th-birthday-edition-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Men,,XL,,,NT260226TT-BJ34-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Atlanta Braves x US Navy 250th Birthday Edition ,,,,new,FALSE,,,,,,,lb,,39.95
atlanta-braves-x-us-navy-250th-birthday-edition-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Men,,2XL,,,NT260226TT-BJ34-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Atlanta Braves x US Navy 250th Birthday Edition ,,,,new,FALSE,,,,,,,lb,,39.95
atlanta-braves-x-us-navy-250th-birthday-edition-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Men,,3XL,,,NT260226TT-BJ34-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Atlanta Braves x US Navy 250th Birthday Edition ,,,,new,FALSE,,,,,,,lb,,39.95
atlanta-braves-x-us-navy-250th-birthday-edition-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Men,,4XL,,,NT260226TT-BJ34-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Atlanta Braves x US Navy 250th Birthday Edition ,,,,new,FALSE,,,,,,,lb,,39.95
atlanta-braves-x-us-navy-250th-birthday-edition-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Men,,5XL,,,NT260226TT-BJ34-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Atlanta Braves x US Navy 250th Birthday Edition ,,,,new,FALSE,,,,,,,lb,,39.95
atlanta-braves-x-us-navy-250th-birthday-edition-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Women,,S,,,NT260226TT-BJ34-Women,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Atlanta Braves x US Navy 250th Birthday Edition ,,,,new,FALSE,,,,,,,lb,,39.95
atlanta-braves-x-us-navy-250th-birthday-edition-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Women,,M,,,NT260226TT-BJ34-Women,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Atlanta Braves x US Navy 250th Birthday Edition ,,,,new,FALSE,,,,,,,lb,,39.95
atlanta-braves-x-us-navy-250th-birthday-edition-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Women,,L,,,NT260226TT-BJ34-Women,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Atlanta Braves x US Navy 250th Birthday Edition ,,,,new,FALSE,,,,,,,lb,,39.95
atlanta-braves-x-us-navy-250th-birthday-edition-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Women,,XL,,,NT260226TT-BJ34-Women,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Atlanta Braves x US Navy 250th Birthday Edition ,,,,new,FALSE,,,,,,,lb,,39.95
atlanta-braves-x-us-navy-250th-birthday-edition-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Women,,2XL,,,NT260226TT-BJ34-Women,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Atlanta Braves x US Navy 250th Birthday Edition ,,,,new,FALSE,,,,,,,lb,,39.95
atlanta-braves-x-us-navy-250th-birthday-edition-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Youth,,S,,,NT260226TT-BJ34-Youth,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Atlanta Braves x US Navy 250th Birthday Edition ,,,,new,FALSE,,,,,,,lb,,39.95
atlanta-braves-x-us-navy-250th-birthday-edition-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Youth,,M,,,NT260226TT-BJ34-Youth,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Atlanta Braves x US Navy 250th Birthday Edition ,,,,new,FALSE,,,,,,,lb,,39.95
atlanta-braves-x-us-navy-250th-birthday-edition-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Youth,,L,,,NT260226TT-BJ34-Youth,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Atlanta Braves x US Navy 250th Birthday Edition ,,,,new,FALSE,,,,,,,lb,,39.95
atlanta-braves-x-us-navy-250th-birthday-edition-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Youth,,XL,,,NT260226TT-BJ34-Youth,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Atlanta Braves x US Navy 250th Birthday Edition ,,,,new,FALSE,,,,,,,lb,,39.95
san-diego-padres-x-us-navy-250th-birthday-edition-custom-prints-store-t-shirts-mugs-face-masks-posters,San Diego Padres x US Navy 250th Birthday Edition Baseball Jersey ,"<p>Elevate your baseball gear with baseball jersey. This masterpiece showcases your unique style and love for the game. With intricate embroidery, it becomes a true work of art.</p>
<p>Create your own design, adding your name, team logo, or special graphics. Made from high-quality materials, our jersey offers comfort and durability on the field. Stand out in local leagues, tournaments, or as a fan.</p>
<p>Each baseball jersey is meticulously personalized with the following features:<br></p>
<ul>
<li>Material: 100% polyester<br></li>
<li>Moisture-wicking fabric has a spongy handle, good draping property and elasticity</li>
<li>Good dimensional stability and wrinkle-resistance</li>
<li>Machine wash, do not tumble dry</li>
<li>Non-alcoholic available for wiping or washing</li>
</ul>
<p style=""text-align: center;""><strong>EASY SIZING</strong></p>
<p style=""text-align: center;""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0555/3936/8049/files/Baseball_Jersey.png?v=1746673225""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0555/3936/8049/files/women_baseball.png?v=1775530395""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0555/3936/8049/files/youth_s_baseball.png?v=1775530395""></p>",,Baseball Jersey 3 Styles,"search-hidden,Baseball Jersey 3 Styles",1,TRUE,Style,Men,Size,S,,,NT260226TT-BJ35-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,https://saigon.pdscdn.com/Mockups/Freestlyefit/extra/5b6bce8f26e580f965268a9acf34e89c.png,1,San Diego Padres x US Navy 250th Birthday Edition ,FALSE,,Adult,Unisex,,San Diego Padres x US Navy 250th Birthday Edition ,,,,new,FALSE,,,,,,,lb,,
san-diego-padres-x-us-navy-250th-birthday-edition-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Men,,M,,,NT260226TT-BJ35-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,San Diego Padres x US Navy 250th Birthday Edition ,,,,new,FALSE,,,,,,,lb,,39.95
san-diego-padres-x-us-navy-250th-birthday-edition-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Men,,L,,,NT260226TT-BJ35-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,San Diego Padres x US Navy 250th Birthday Edition ,,,,new,FALSE,,,,,,,lb,,39.95
san-diego-padres-x-us-navy-250th-birthday-edition-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Men,,XL,,,NT260226TT-BJ35-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,San Diego Padres x US Navy 250th Birthday Edition ,,,,new,FALSE,,,,,,,lb,,39.95
san-diego-padres-x-us-navy-250th-birthday-edition-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Men,,2XL,,,NT260226TT-BJ35-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,San Diego Padres x US Navy 250th Birthday Edition ,,,,new,FALSE,,,,,,,lb,,39.95
san-diego-padres-x-us-navy-250th-birthday-edition-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Men,,3XL,,,NT260226TT-BJ35-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,San Diego Padres x US Navy 250th Birthday Edition ,,,,new,FALSE,,,,,,,lb,,39.95
san-diego-padres-x-us-navy-250th-birthday-edition-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Men,,4XL,,,NT260226TT-BJ35-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,San Diego Padres x US Navy 250th Birthday Edition ,,,,new,FALSE,,,,,,,lb,,39.95
san-diego-padres-x-us-navy-250th-birthday-edition-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Men,,5XL,,,NT260226TT-BJ35-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,San Diego Padres x US Navy 250th Birthday Edition ,,,,new,FALSE,,,,,,,lb,,39.95
san-diego-padres-x-us-navy-250th-birthday-edition-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Women,,S,,,NT260226TT-BJ35-Women,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,San Diego Padres x US Navy 250th Birthday Edition ,,,,new,FALSE,,,,,,,lb,,39.95
san-diego-padres-x-us-navy-250th-birthday-edition-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Women,,M,,,NT260226TT-BJ35-Women,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,San Diego Padres x US Navy 250th Birthday Edition ,,,,new,FALSE,,,,,,,lb,,39.95
san-diego-padres-x-us-navy-250th-birthday-edition-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Women,,L,,,NT260226TT-BJ35-Women,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,San Diego Padres x US Navy 250th Birthday Edition ,,,,new,FALSE,,,,,,,lb,,39.95
san-diego-padres-x-us-navy-250th-birthday-edition-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Women,,XL,,,NT260226TT-BJ35-Women,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,San Diego Padres x US Navy 250th Birthday Edition ,,,,new,FALSE,,,,,,,lb,,39.95
san-diego-padres-x-us-navy-250th-birthday-edition-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Women,,2XL,,,NT260226TT-BJ35-Women,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,San Diego Padres x US Navy 250th Birthday Edition ,,,,new,FALSE,,,,,,,lb,,39.95
san-diego-padres-x-us-navy-250th-birthday-edition-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Youth,,S,,,NT260226TT-BJ35-Youth,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,San Diego Padres x US Navy 250th Birthday Edition ,,,,new,FALSE,,,,,,,lb,,39.95
san-diego-padres-x-us-navy-250th-birthday-edition-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Youth,,M,,,NT260226TT-BJ35-Youth,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,San Diego Padres x US Navy 250th Birthday Edition ,,,,new,FALSE,,,,,,,lb,,39.95
san-diego-padres-x-us-navy-250th-birthday-edition-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Youth,,L,,,NT260226TT-BJ35-Youth,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,San Diego Padres x US Navy 250th Birthday Edition ,,,,new,FALSE,,,,,,,lb,,39.95
san-diego-padres-x-us-navy-250th-birthday-edition-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Youth,,XL,,,NT260226TT-BJ35-Youth,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,San Diego Padres x US Navy 250th Birthday Edition ,,,,new,FALSE,,,,,,,lb,,39.95
new-york-yankees-x-us-navy-250th-birthday-edition-custom-prints-store-t-shirts-mugs-face-masks-posters,New York Yankees x US Navy 250th Birthday Edition Baseball Jersey ,"<p>Elevate your baseball gear with baseball jersey. This masterpiece showcases your unique style and love for the game. With intricate embroidery, it becomes a true work of art.</p>
<p>Create your own design, adding your name, team logo, or special graphics. Made from high-quality materials, our jersey offers comfort and durability on the field. Stand out in local leagues, tournaments, or as a fan.</p>
<p>Each baseball jersey is meticulously personalized with the following features:<br></p>
<ul>
<li>Material: 100% polyester<br></li>
<li>Moisture-wicking fabric has a spongy handle, good draping property and elasticity</li>
<li>Good dimensional stability and wrinkle-resistance</li>
<li>Machine wash, do not tumble dry</li>
<li>Non-alcoholic available for wiping or washing</li>
</ul>
<p style=""text-align: center;""><strong>EASY SIZING</strong></p>
<p style=""text-align: center;""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0555/3936/8049/files/Baseball_Jersey.png?v=1746673225""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0555/3936/8049/files/women_baseball.png?v=1775530395""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0555/3936/8049/files/youth_s_baseball.png?v=1775530395""></p>",,Baseball Jersey 3 Styles,"search-hidden,Baseball Jersey 3 Styles",1,TRUE,Style,Men,Size,S,,,NT260226TT-BJ36-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,https://saigon.pdscdn.com/Mockups/Freestlyefit/extra/4d8cdbad941b28f71d445c069a993ff9.png,1,New York Yankees x US Navy 250th Birthday Edition ,FALSE,,Adult,Unisex,,New York Yankees x US Navy 250th Birthday Edition ,,,,new,FALSE,,,,,,,lb,,
new-york-yankees-x-us-navy-250th-birthday-edition-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Men,,M,,,NT260226TT-BJ36-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,New York Yankees x US Navy 250th Birthday Edition ,,,,new,FALSE,,,,,,,lb,,39.95
new-york-yankees-x-us-navy-250th-birthday-edition-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Men,,L,,,NT260226TT-BJ36-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,New York Yankees x US Navy 250th Birthday Edition ,,,,new,FALSE,,,,,,,lb,,39.95
new-york-yankees-x-us-navy-250th-birthday-edition-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Men,,XL,,,NT260226TT-BJ36-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,New York Yankees x US Navy 250th Birthday Edition ,,,,new,FALSE,,,,,,,lb,,39.95
new-york-yankees-x-us-navy-250th-birthday-edition-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Men,,2XL,,,NT260226TT-BJ36-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,New York Yankees x US Navy 250th Birthday Edition ,,,,new,FALSE,,,,,,,lb,,39.95
new-york-yankees-x-us-navy-250th-birthday-edition-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Men,,3XL,,,NT260226TT-BJ36-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,New York Yankees x US Navy 250th Birthday Edition ,,,,new,FALSE,,,,,,,lb,,39.95
new-york-yankees-x-us-navy-250th-birthday-edition-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Men,,4XL,,,NT260226TT-BJ36-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,New York Yankees x US Navy 250th Birthday Edition ,,,,new,FALSE,,,,,,,lb,,39.95
new-york-yankees-x-us-navy-250th-birthday-edition-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Men,,5XL,,,NT260226TT-BJ36-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,New York Yankees x US Navy 250th Birthday Edition ,,,,new,FALSE,,,,,,,lb,,39.95
new-york-yankees-x-us-navy-250th-birthday-edition-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Women,,S,,,NT260226TT-BJ36-Women,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,New York Yankees x US Navy 250th Birthday Edition ,,,,new,FALSE,,,,,,,lb,,39.95
new-york-yankees-x-us-navy-250th-birthday-edition-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Women,,M,,,NT260226TT-BJ36-Women,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,New York Yankees x US Navy 250th Birthday Edition ,,,,new,FALSE,,,,,,,lb,,39.95
new-york-yankees-x-us-navy-250th-birthday-edition-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Women,,L,,,NT260226TT-BJ36-Women,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,New York Yankees x US Navy 250th Birthday Edition ,,,,new,FALSE,,,,,,,lb,,39.95
new-york-yankees-x-us-navy-250th-birthday-edition-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Women,,XL,,,NT260226TT-BJ36-Women,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,New York Yankees x US Navy 250th Birthday Edition ,,,,new,FALSE,,,,,,,lb,,39.95
new-york-yankees-x-us-navy-250th-birthday-edition-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Women,,2XL,,,NT260226TT-BJ36-Women,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,New York Yankees x US Navy 250th Birthday Edition ,,,,new,FALSE,,,,,,,lb,,39.95
new-york-yankees-x-us-navy-250th-birthday-edition-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Youth,,S,,,NT260226TT-BJ36-Youth,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,New York Yankees x US Navy 250th Birthday Edition ,,,,new,FALSE,,,,,,,lb,,39.95
new-york-yankees-x-us-navy-250th-birthday-edition-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Youth,,M,,,NT260226TT-BJ36-Youth,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,New York Yankees x US Navy 250th Birthday Edition ,,,,new,FALSE,,,,,,,lb,,39.95
new-york-yankees-x-us-navy-250th-birthday-edition-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Youth,,L,,,NT260226TT-BJ36-Youth,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,New York Yankees x US Navy 250th Birthday Edition ,,,,new,FALSE,,,,,,,lb,,39.95
new-york-yankees-x-us-navy-250th-birthday-edition-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Youth,,XL,,,NT260226TT-BJ36-Youth,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,New York Yankees x US Navy 250th Birthday Edition ,,,,new,FALSE,,,,,,,lb,,39.95
minnesota-twins-x-us-navy-250th-birthday-edition-custom-prints-store-t-shirts-mugs-face-masks-posters,Minnesota Twins x US Navy 250th Birthday Edition Baseball Jersey ,"<p>Elevate your baseball gear with baseball jersey. This masterpiece showcases your unique style and love for the game. With intricate embroidery, it becomes a true work of art.</p>
<p>Create your own design, adding your name, team logo, or special graphics. Made from high-quality materials, our jersey offers comfort and durability on the field. Stand out in local leagues, tournaments, or as a fan.</p>
<p>Each baseball jersey is meticulously personalized with the following features:<br></p>
<ul>
<li>Material: 100% polyester<br></li>
<li>Moisture-wicking fabric has a spongy handle, good draping property and elasticity</li>
<li>Good dimensional stability and wrinkle-resistance</li>
<li>Machine wash, do not tumble dry</li>
<li>Non-alcoholic available for wiping or washing</li>
</ul>
<p style=""text-align: center;""><strong>EASY SIZING</strong></p>
<p style=""text-align: center;""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0555/3936/8049/files/Baseball_Jersey.png?v=1746673225""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0555/3936/8049/files/women_baseball.png?v=1775530395""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0555/3936/8049/files/youth_s_baseball.png?v=1775530395""></p>",,Baseball Jersey 3 Styles,"search-hidden,Baseball Jersey 3 Styles",1,TRUE,Style,Men,Size,S,,,NT260226TT-BJ37-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,https://saigon.pdscdn.com/Mockups/Freestlyefit/extra/eb014904699fb54eca6095facc35deae.png,1,Minnesota Twins x US Navy 250th Birthday Edition ,FALSE,,Adult,Unisex,,Minnesota Twins x US Navy 250th Birthday Edition ,,,,new,FALSE,,,,,,,lb,,
minnesota-twins-x-us-navy-250th-birthday-edition-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Men,,M,,,NT260226TT-BJ37-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Minnesota Twins x US Navy 250th Birthday Edition ,,,,new,FALSE,,,,,,,lb,,39.95
minnesota-twins-x-us-navy-250th-birthday-edition-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Men,,L,,,NT260226TT-BJ37-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Minnesota Twins x US Navy 250th Birthday Edition ,,,,new,FALSE,,,,,,,lb,,39.95
minnesota-twins-x-us-navy-250th-birthday-edition-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Men,,XL,,,NT260226TT-BJ37-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Minnesota Twins x US Navy 250th Birthday Edition ,,,,new,FALSE,,,,,,,lb,,39.95
minnesota-twins-x-us-navy-250th-birthday-edition-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Men,,2XL,,,NT260226TT-BJ37-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Minnesota Twins x US Navy 250th Birthday Edition ,,,,new,FALSE,,,,,,,lb,,39.95
minnesota-twins-x-us-navy-250th-birthday-edition-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Men,,3XL,,,NT260226TT-BJ37-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Minnesota Twins x US Navy 250th Birthday Edition ,,,,new,FALSE,,,,,,,lb,,39.95
minnesota-twins-x-us-navy-250th-birthday-edition-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Men,,4XL,,,NT260226TT-BJ37-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Minnesota Twins x US Navy 250th Birthday Edition ,,,,new,FALSE,,,,,,,lb,,39.95
minnesota-twins-x-us-navy-250th-birthday-edition-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Men,,5XL,,,NT260226TT-BJ37-Men,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Minnesota Twins x US Navy 250th Birthday Edition ,,,,new,FALSE,,,,,,,lb,,39.95
minnesota-twins-x-us-navy-250th-birthday-edition-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Women,,S,,,NT260226TT-BJ37-Women,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Minnesota Twins x US Navy 250th Birthday Edition ,,,,new,FALSE,,,,,,,lb,,39.95
minnesota-twins-x-us-navy-250th-birthday-edition-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Women,,M,,,NT260226TT-BJ37-Women,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Minnesota Twins x US Navy 250th Birthday Edition ,,,,new,FALSE,,,,,,,lb,,39.95
minnesota-twins-x-us-navy-250th-birthday-edition-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Women,,L,,,NT260226TT-BJ37-Women,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Minnesota Twins x US Navy 250th Birthday Edition ,,,,new,FALSE,,,,,,,lb,,39.95
minnesota-twins-x-us-navy-250th-birthday-edition-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Women,,XL,,,NT260226TT-BJ37-Women,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Minnesota Twins x US Navy 250th Birthday Edition ,,,,new,FALSE,,,,,,,lb,,39.95
minnesota-twins-x-us-navy-250th-birthday-edition-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Women,,2XL,,,NT260226TT-BJ37-Women,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Minnesota Twins x US Navy 250th Birthday Edition ,,,,new,FALSE,,,,,,,lb,,39.95
minnesota-twins-x-us-navy-250th-birthday-edition-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Youth,,S,,,NT260226TT-BJ37-Youth,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Minnesota Twins x US Navy 250th Birthday Edition ,,,,new,FALSE,,,,,,,lb,,39.95
minnesota-twins-x-us-navy-250th-birthday-edition-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Youth,,M,,,NT260226TT-BJ37-Youth,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Minnesota Twins x US Navy 250th Birthday Edition ,,,,new,FALSE,,,,,,,lb,,39.95
minnesota-twins-x-us-navy-250th-birthday-edition-custom-prints-store-t-shirts-mugs-face-masks-posters,,,,,,,,,Youth,,L,,,NT260226TT-BJ37-Youth,0,shopify,0,continue,manual,39.95,,TRUE,,,,,,FALSE,,Adult,Unisex,,Minnesota Twins x US Navy 250th Birthday Edition ,,,,new,FALSE,,,,,,,lb,,39.95
